Participante,Equipo 1,Gana 1,Empata,Gana 2,Equipo 2
Mariana,Argentina,x,,,Arabia Saudita
Mariana,Mexico,x,,,Polonia
Mariana,Polonia,x,,,Arabia Saudita
Mariana,Argentina,x,,,Mexico
Mariana,Polonia,x,,,Argentina
Mariana,Arabia Saudita,x,,,Mexico
Mariana,Dinamarca,x,,,Tunez
Mariana,Francia,x,,,Australia
Mariana,Tunez,x,,,Australia
Mariana,Francia,x,,,Dinamarca
Mariana,Australia,x,,,Dinamarca
Mariana,Tunez,x,,,Francia
Mariana,Argentina,x,,,Australia
Mariana,Francia,x,,,Polonia
Mariana,Argentina,x,,,Francia
Pedro,Argentina,,x,,Arabia Saudita
Pedro,Mexico,x,,,Polonia
Pedro,Polonia,x,,,Arabia Saudita
Pedro,Argentina,x,,,Mexico
Pedro,Polonia,x,,,Argentina
Pedro,Arabia Saudita,x,,,Mexico
Pedro,Dinamarca,x,,,Tunez
Pedro,Francia,x,,,Australia
Pedro,Tunez,x,,,Australia
Pedro,Francia,x,,,Dinamarca
Pedro,Australia,x,,,Dinamarca
Pedro,Tunez,x,,,Francia
Pedro,Argentina,x,,,Australia
Pedro,Francia,x,,,Polonia
Pedro,Argentina,,x,,Francia
